,PhoneService,InternetService,OnlineSecurity,Contract,PaperlessBilling,PaymentMethod
0,No,DSL,No,Month-to-month,Yes,Electronic check
1,Yes,DSL,Yes,One year,No,Mailed check
2,Yes,DSL,Yes,Month-to-month,Yes,Mailed check
3,No,DSL,Yes,One year,No,Bank transfer (automatic)
4,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
5,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
6,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
7,No,DSL,Yes,Month-to-month,No,Mailed check
8,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
9,Yes,DSL,Yes,One year,No,Bank transfer (automatic)
10,Yes,DSL,Yes,Month-to-month,Yes,Mailed check
11,Yes,No,No internet service,Two year,No,Credit card (automatic)
12,Yes,Fiber optic,No,One year,No,Credit card (automatic)
13,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
14,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
15,Yes,Fiber optic,Yes,Two year,No,Credit card (automatic)
16,Yes,No,No internet service,One year,No,Mailed check
17,Yes,Fiber optic,Yes,Two year,No,Bank transfer (automatic)
18,Yes,DSL,No,Month-to-month,No,Credit card (automatic)
19,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
20,No,DSL,No,Month-to-month,Yes,Electronic check
21,Yes,No,No internet service,One year,No,Bank transfer (automatic)
22,Yes,No,No internet service,Month-to-month,No,Mailed check
23,Yes,DSL,No,Two year,Yes,Credit card (automatic)
24,Yes,DSL,Yes,Month-to-month,No,Credit card (automatic)
25,Yes,DSL,Yes,Month-to-month,Yes,Bank transfer (automatic)
26,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
27,No,DSL,No,Month-to-month,No,Electronic check
28,Yes,DSL,Yes,Two year,Yes,Credit card (automatic)
29,Yes,DSL,No,Month-to-month,Yes,Mailed check
30,Yes,Fiber optic,Yes,Two year,Yes,Credit card (automatic)
31,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
32,Yes,DSL,Yes,One year,No,Mailed check
33,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic)
34,Yes,DSL,No,Month-to-month,No,Bank transfer (automatic)
35,Yes,Fiber optic,Yes,Two year,No,Bank transfer (automatic)
36,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
37,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
38,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
39,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
40,Yes,DSL,No,One year,No,Mailed check
41,Yes,DSL,Yes,Two year,Yes,Credit card (automatic)
42,Yes,No,No internet service,One year,No,Mailed check
43,Yes,DSL,Yes,Two year,Yes,Credit card (automatic)
44,Yes,DSL,Yes,Month-to-month,Yes,Electronic check
